Date,3_month,6_month,1_year,2_year,3_year,5_year,7_year,10_year,13_year,15_year,24_year,30_year
2014-01-28,8.86,8.86,8.71,8.725,8.771,8.855,9.002,8.748,9.156,9.121,9.097,9.097
2014-01-29,8.92,8.94,8.784,8.726,8.791,8.891,9.043,8.774,9.19,9.174,9.161,9.157
2014-01-30,8.92,8.96,8.812,8.675,8.752,8.933,9.084,8.82,9.238,9.201,9.233,9.233
2014-01-31,8.92,8.95,8.826,8.679,8.753,8.918,9.06,8.77,9.194,9.221,9.205,9.283
2014-02-03,8.91,8.95,8.83,8.654,8.654,8.888,9.062,8.734,9.176,9.18,9.224,9.226
2014-02-04,8.93,8.96,8.835,8.655,8.623,8.826,9.003,8.679,9.107,9.131,9.148,9.147
2014-02-05,8.95,8.96,8.825,8.657,8.623,8.827,9.003,8.707,9.143,9.144,9.148,9.139
2014-02-06,8.94,8.93,8.816,8.658,8.639,8.845,9.024,8.717,9.161,9.136,9.148,9.146
2014-02-07,8.96,8.95,8.859,8.74,8.625,8.852,9.023,8.736,9.162,9.133,9.162,9.157
2014-02-10,8.95,8.96,8.762,8.689,8.617,8.838,9.01,8.69,9.127,9.115,9.12,9.126
2014-02-11,8.99,9.0,8.81,8.691,8.617,8.906,9.07,8.74,9.202,9.174,9.162,9.182
2014-02-12,9.03,9.04,8.947,8.745,8.757,8.977,9.139,8.811,9.285,9.233,9.262,9.219
2014-02-13,9.1,9.08,8.952,8.704,8.858,9.023,9.205,8.865,9.321,9.243,9.274,9.29
2014-02-14,9.05,9.04,9.147,8.734,8.859,8.957,9.16,8.808,9.271,9.239,9.262,9.241
2014-02-17,9.06,9.06,9.139,8.752,8.86,8.971,9.182,8.805,9.277,9.243,9.233,9.219
2014-02-18,9.05,9.05,9.151,8.702,8.861,8.934,9.151,8.768,9.248,9.228,9.262,9.246
2014-02-20,9.07,9.06,9.142,8.677,8.862,8.922,9.164,8.788,9.263,9.219,9.274,9.236
2014-02-21,9.06,9.05,8.977,8.708,8.863,8.917,9.146,8.795,9.251,9.215,9.26,9.241
2014-02-24,9.02,9.01,8.968,8.709,8.904,9.014,9.238,8.885,9.327,9.27,9.291,9.276
2014-02-25,9.03,9.02,8.927,8.684,8.893,9.004,9.232,8.875,9.325,9.282,9.291,9.29
2014-02-26,9.15,9.1,9.0,8.687,8.906,9.052,9.274,8.915,9.35,9.29,9.32,9.301
2014-02-28,9.14,9.11,8.967,8.651,8.868,8.976,9.205,8.862,9.295,9.241,9.268,9.276
2014-03-03,9.12,9.08,9.117,8.669,8.889,9.015,9.233,8.904,9.321,9.294,9.286,9.279
2014-03-04,9.17,9.08,8.932,8.649,8.87,8.973,9.197,8.836,9.292,9.256,9.263,9.248
2014-03-05,9.19,9.14,8.969,8.65,8.878,8.986,9.21,8.842,9.297,9.234,9.263,9.243
2014-03-06,9.17,9.12,8.943,8.636,8.871,8.941,9.154,8.792,9.259,9.246,9.234,9.219
2014-03-07,9.18,9.11,8.962,8.651,8.873,8.961,9.172,8.811,9.273,9.25,9.234,9.23
